label,category,source,url,local_path,sha256,overlay_style
蚌,无语嫌弃,cv17965114,https://i0.hdslb.com/bfs/article/b47f1c85214bf86c2dce61590dad367034b4b826.png,assets/cover-emotes/wushen/无语嫌弃/17965114_11_蚌.png,9d0ba6dac288455883b7ddb521697ff9ca8e180e1be5eb44fb37b89149abccb7,sticker
嗯哼,无语嫌弃,cv17965114,https://i0.hdslb.com/bfs/article/b43b00687720a484937623a538469848c8c5389a.png,assets/cover-emotes/wushen/无语嫌弃/17965114_12_嗯哼.png,1c7848b17907facd5037e537a5264c2eb770298d99cc52cc264f92426df907e7,sticker
呃呃,无语嫌弃,cv17965114,https://i0.hdslb.com/bfs/article/65a4fb5abce57f0ee9c861ab5893f78c17ba529f.png,assets/cover-emotes/wushen/无语嫌弃/17965114_18_呃呃.png,5ee6cd7a24ae865e86fff902bde0f42c240228f7fa44cb05be7112540b30071b,sticker
疑惑咪,无语嫌弃,cv30277853,https://i0.hdslb.com/bfs/article/6cbdd8a97124fb39549aece2c8a8f426353403349.png,assets/cover-emotes/wushen/无语嫌弃/30277853_27_疑惑咪.png,b5e5353a00c6aa8f0f9caa048d57d50eafab09fa55edd9437ecba317cbcc0a7f,sticker
盯着咪,无语嫌弃,cv30277853,https://i0.hdslb.com/bfs/article/de7a06ad632313f9134e6f74298b9592353403349.png,assets/cover-emotes/wushen/无语嫌弃/30277853_40_盯着咪.png,a6b9753ccc63a498a770b3ed2164dcefb8bee745dc0548f0adc8d55ba17e70da,sticker
看手机嫌弃,无语嫌弃,user-provided,,assets/cover-emotes/wushen/无语嫌弃/user_01_看手机嫌弃.webp,0d80c8efe079ae7137de08031965fd1741ef86381157e91f4567de7ba26f8945,tile
无语吐槽,无语嫌弃,user-provided,,assets/cover-emotes/wushen/无语嫌弃/user_03_无语吐槽.webp,0a6222369c4284ae68f17aeed9f3df03ecdf9398f8c5051d18f6a2e0bb9a4f35,sticker
邦邦两拳,生气红温,cv17965114,https://i0.hdslb.com/bfs/article/e4445c2ffc5ad717062200782498f7f3e5565dc3.png,assets/cover-emotes/wushen/生气红温/17965114_13_邦邦两拳.png,35df19c44ba31f8551ab181e4b2a3fc140398d850058c269dc2967038fc50b3d,sticker
红温喵,生气红温,cv17965114,https://i0.hdslb.com/bfs/article/22e6fa0de0f60bf6173592d92e29b4c0e214cb80.png,assets/cover-emotes/wushen/生气红温/17965114_15_红温喵.png,e9583447bb762cb457d2226f57fa083e746b6b6754b2c7d01c7b67ba81ef1284,sticker
坏的咪,生气红温,cv30277853,https://i0.hdslb.com/bfs/article/3821bf03e58ffd2c2aac86369129e0aa353403349.png,assets/cover-emotes/wushen/生气红温/30277853_37_坏的咪.png,3ac5fd76424fd53585ac89919e815c2c37730486ba09346a6fc6d9c09382c563,sticker
叉腰咪,生气红温,cv30277853,https://i0.hdslb.com/bfs/article/03294448866f2715b1da12d9a84525c2353403349.png,assets/cover-emotes/wushen/生气红温/30277853_38_叉腰咪.png,90a94dbd517c79ae5be23542573e47b51488fe4b4cb25e8f92c0af1558585c9b,sticker
升天喵,震惊崩溃,cv17965114,https://i0.hdslb.com/bfs/article/c5401db9f69a3f1422046a058b27876ece680572.png,assets/cover-emotes/wushen/震惊崩溃/17965114_07_升天喵.png,163fac07c6925d114dac341df9486312bbf577caa5ee1923c6863fc8b70de093,sticker
扁了咪,震惊崩溃,cv30277853,https://i0.hdslb.com/bfs/article/a5fefa91d9c6163289a0c89d6e630475353403349.png,assets/cover-emotes/wushen/震惊崩溃/30277853_34_扁了咪.png,ec5f7957bb573a98e8d377c323a35d7888fd3a9312daa1837e20586eb8925cef,sticker
灵魂出窍,震惊崩溃,user-provided,,assets/cover-emotes/wushen/震惊崩溃/user_05_灵魂出窍.webp,6fafea34a74f21d6deb4ead48869c850e6ac410a7a3de4c55813f6bd732d656e,tile
